,index,prod_class,brand,product_title,price,url
163,163,laptop,Samsung,ATIV Book 9 Plus NP940X3K-K03US,120000.0,http://www.consumerreports.org/products/laptop/samsung-ativ-book-9-plus-np940x3k-k03us-371600/
164,164,laptop,Samsung,Galaxy TabPro S,75000.0,http://www.consumerreports.org/products/laptop/samsung-galaxy-tabpro-s-385907/
165,165,laptop,Samsung,Notebook 5,62500.0,http://www.consumerreports.org/products/laptop/samsung-notebook-5-388770/
166,166,laptop,Samsung,Notebook 7 740U3L,80000.0,http://www.consumerreports.org/products/laptop/samsung-notebook-7-740u3l-387109/
167,167,laptop,Samsung,Notebook 7 Spin 13,80000.0,http://www.consumerreports.org/products/laptop/samsung-notebook-7-spin-13-388953/
168,168,laptop,Samsung,Notebook 7 Spin 15,100000.0,http://www.consumerreports.org/products/laptop/samsung-notebook-7-spin-15-388954/
169,169,laptop,Samsung,Notebook 9,140000.0,http://www.consumerreports.org/products/laptop/samsung-notebook-9-388637/
170,170,laptop,Toshiba,dynaPad WT12PE-A64,45000.0,http://www.consumerreports.org/products/laptop/toshiba-dynapad-wt12pe-a64-385691/
171,171,laptop,Toshiba,Satellite Click10 LX0W­C64,27500.0,http://www.consumerreports.org/products/laptop/toshiba-satellite-click10-lx0w-c64-384805/
172,172,laptop,Toshiba,Satellite Radius P25W-C2300-4K,75000.0,http://www.consumerreports.org/products/laptop/toshiba-satellite-radius-p25w-c2300-4k-385005/
173,173,laptop,Vaio,S,113500.0,http://www.consumerreports.org/products/laptop/vaio-s-386113/
174,174,laptop,Acer,Aspire E5-574-53QS,39000.0,http://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/
175,175,laptop,Acer,Aspire ES1-571-P1MG,31500.0,http://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/
176,176,laptop,Acer,Aspire One Cloudbook AO1-131-C9PM,16500.0,http://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/
177,177,laptop,Acer,Aspire R5-571T-57Z0,70000.0,http://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/
178,178,laptop,Acer,Aspire R7-372T-54TM,90000.0,http://www.consumerreports.org/products/laptop/acer-aspire-r7-372t-54tm-387107/
179,179,laptop,Acer,Spin 5 SP513-51-55ZR,57000.0,http://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/
180,180,laptop,Acer,Swift 3 SF314-51-52W2,69000.0,http://www.consumerreports.org/products/laptop/acer-swift-3-sf314-51-52w2-387923/
181,181,laptop,Apple,MacBook Air 13-inch MJVE2LL/A,100000.0,http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/
182,182,laptop,Apple,MacBook Pro 13-inch with Retina Display MF839LL/A,114900.0,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/
183,183,laptop,Apple,MacBook Pro 15-inch with Retina Display MJLQ2LL/A,184800.0,http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-with-retina-display-mjlq2ll-a-381914/
184,184,laptop,Apple,MacBook Pro 15-inch with Touch Bar MPTU2LL/A,229700.0,http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-touch-bar-392574/
185,185,laptop,Asus,EeeBook E402MA-EH,20000.0,http://www.consumerreports.org/products/laptop/asus-eeebook-e402ma-eh-386280/
186,186,laptop,Asus,Q304UA-BBI5T10,59500.0,http://www.consumerreports.org/products/laptop/asus-q304ua-bbi5t10-386676/
187,187,laptop,Asus,T300CHI-RHM5T06,47500.0,http://www.consumerreports.org/products/laptop/asus-t300chi-rhm5t06-385010/
188,188,laptop,Asus,Transformer Book T100CHI-C1,29500.0,http://www.consumerreports.org/products/laptop/asus-transformer-book-t100chi-c1-379138/
189,189,laptop,Asus,VivoBook E403SA-US21,37000.0,http://www.consumerreports.org/products/laptop/asus-vivobook-e403sa-us21-386117/
190,190,laptop,Asus,X555YA-DB84Q,43000.0,http://www.consumerreports.org/products/laptop/asus-x555ya-db84q-387687/
191,191,laptop,Asus,ZenBook Flip UX360CA,80000.0,http://www.consumerreports.org/products/laptop/asus-zenbook-flip-ux360ca-387106/
192,192,laptop,Asus,ZenBook Pro UX501VW-DS71T,150000.0,http://www.consumerreports.org/products/laptop/asus-zenbook-pro-ux501vw-ds71t-386108/
193,193,laptop,Dell,Inspiron I3452-600BLK,21000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i3452-600blk-384994/
194,194,laptop,Dell,Inspiron i5568-5240,58000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i5568-5240-387264/
195,195,laptop,Dell,Inspiron I7579-0028GRY,80000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i7579-0028gry-388094/
196,196,laptop,HP,ENVY x360 15t Touch 7th Gen,73000.0,http://www.consumerreports.org/products/laptop/hp-envy-x360-15t-touch-7th-gen-387889/
197,197,laptop,HP,Laptop 17.3,79000.0,http://www.consumerreports.org/products/laptop/hp-laptop-17-3-386464/
198,198,laptop,HP,Pavilion M1-U001DX,40000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-m1-u001dx-386340/
199,199,laptop,HP,Pavilion x2 12b010nr,50000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-x2-12b010nr-385667/
200,200,laptop,HP,Pavilion x360 m3-u103dx,70000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-m3-u103dx-388096/
201,201,laptop,HP,Stream 11-y010nr,20000.0,http://www.consumerreports.org/products/laptop/hp-stream-11-y010nr-387459/
202,202,laptop,Huawei,Matebook,51500.0,http://www.consumerreports.org/products/laptop/huawei-matebook-387684/
203,203,laptop,Lenovo,110-15IBR 80T7000HUS,30000.0,http://www.consumerreports.org/products/laptop/lenovo-110-15ibr-386678/
204,204,laptop,Lenovo,300-17ISK 80QH008MUS,33000.0,http://www.consumerreports.org/products/laptop/lenovo-300-17isk-386677/
205,205,laptop,Lenovo,Flex 3 80LY0008US,30000.0,http://www.consumerreports.org/products/laptop/lenovo-flex-3-80ly0008us-385003/
206,206,laptop,Lenovo,Ideapad 300S,53000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-300s-385670/
207,207,laptop,Lenovo,Ideapad Miix 310,30000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-miix-310-387117/
208,208,laptop,Lenovo,Ideapad Y700 80NU000UUS,80000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nu000sus-386451/
209,209,laptop,Lenovo,Ideapad Y700 80NW000PUS,100000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nw000pus-386453/
210,210,laptop,Lenovo,Ideapad Y700 80Q0008WUS,118999.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80q0008wus-386452/
211,211,laptop,Lenovo,ThinkPad N22,15000.0,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-n22-387458/
212,212,laptop,Lenovo,ThinkPad X1 Carbon 4th Gen,202500.0,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-carbon-4th-gen-386343/
213,213,laptop,Lenovo,ThinkPad X1 Yoga,140399.0,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-yoga-385732/
214,214,laptop,Lenovo,Y700-15ACZ,80000.0,http://www.consumerreports.org/products/laptop/lenovo-y700-15acz-386281/
