prod_class,brand,product_title,price,url
laptop,Asus,Q304UA-BHI5T11,$650.00,http://www.consumerreports.org/products/laptop/asus-q304ua-bhi5t11-387894/overview/
laptop,Asus,Q324UA-BHI7T17,"$1,100.00",http://www.consumerreports.org/products/laptop/asus-q324ua-bhi7t17-387893/overview/
laptop,Asus,Q524UQ-BBI7T14,$880.00,http://www.consumerreports.org/products/laptop/asus-q524uq-bbi7t14-386679/overview/
laptop,Asus,Q524UQ-BHI7T15,"$1,000.00",http://www.consumerreports.org/products/laptop/asus-q524uq-bhi7t15-388948/overview/
laptop,Asus,Transformer Book T300CHI-F1-DB,$465.00,http://www.consumerreports.org/products/laptop/asus-transformer-book-t300chi-f1-db-381372/overview/
laptop,Asus,VivoBook E200HA-US01,$200.00,http://www.consumerreports.org/products/laptop/asus-vivobook-e200ha-us01-385911/overview/
laptop,Asus,VivoBook Pro N552VX,"$1,300.00",http://www.consumerreports.org/products/laptop/asus-vivobook-pro-n552vx-387457/overview/
laptop,Dell,Inspiron 11 3000,$180.00,http://www.consumerreports.org/products/laptop/dell-inspiron-11-3000-385665/overview/
laptop,Dell,Inspiron 11 3000 3rd Gen,$400.00,http://www.consumerreports.org/products/laptop/brondell-inspiron-11-3000-3rd-gen-387111/overview/
laptop,Dell,Inspiron 13 5000,$700.00,http://www.consumerreports.org/products/laptop/brondell-inspiron-13-5000-387112/overview/
laptop,Dell,Inspiron 13 7000 3rd Gen,$870.00,http://www.consumerreports.org/products/laptop/brondell-inspiron-13-7000-3rd-gen-387114/overview/
laptop,Dell,Inspiron 15 5000 3rd-Gen,$785.00,http://www.consumerreports.org/products/laptop/brondell-inspiron-15-5000-3rd-gen-387113/overview/
laptop,Dell,Inspiron 15 7000 3rd-Gen,$750.00,http://www.consumerreports.org/products/laptop/brondell-inspiron-15-7000-3rd-gen-387115/overview/
laptop,Dell,Inspiron 17 7000 3rd-Gen,$900.00,http://www.consumerreports.org/products/laptop/brondell-inspiron-17-7000-3rd-gen-387116/overview/
laptop,Dell,Inspiron i3567-3465BLK,$400.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i3567-3465blk-389334/overview/
laptop,Dell,Inspiron i5555-2843SLV,$450.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i5555-2843slv-388772/overview/
laptop,Dell,Inspiron i5565-5851GRY,$700.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i5565-5851gry-388949/overview/
laptop,Dell,Inspiron i5566-3000BLK,$365.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i5566-3000blk-388771/overview/
laptop,Dell,Inspiron i5567,$775.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i5567-388951/overview/
laptop,Dell,Inspiron i5759-5306SLV,$760.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i5759-5306slv-385062/overview/
laptop,Dell,Inspiron I7378-0028GRY,$800.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i7378-0028gry-388097/overview/
laptop,Dell,Inspiron i7567-5000BLK,$800.00,http://www.consumerreports.org/products/laptop/dell-inspiron-i7567-5000blk-388640/overview/
laptop,Dell,XPS 12 2in1,$495.00,http://www.consumerreports.org/products/laptop/dell-xps-12-2in1-385666/overview/
laptop,Dell,XPS 13 Convertible,"$1,350.00",http://www.consumerreports.org/products/laptop/dell-xps-13-convertible-388659/overview/
laptop,Dell,XPS 15 Non-Touch,"$1,000.00",http://www.consumerreports.org/products/laptop/dell-xps-15-non-touch-384997/overview/
laptop,Dell,XPS 15 Touch 6th-Gen,"$1,600.00",http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/overview/
laptop,HP,15-ay013dx,$500.00,http://www.consumerreports.org/products/laptop/hp-15-ay013dx-386445/overview/
