"","brand","model","prod_class","url","Analog_surround_sound_out","Battery_capacity","Blu_ray_or_DVD","Blu_ray_reader","Built_in_microphone","Built_in_webcam","Depth","Digital_video_out","Display_size","DisplayPort_video_out","DVI_video_out","Energy_Star","EPEAT_level","Facial_recognition","Fingerprint_reader","Free_memory_slot","Gigabit_Ethernet","Hand_gesture_control","HDMI_output","HDMI_video_in","HDMI_video_out","Height","LCD_resolution","Memory","Memory_card_reader","MS_Memory_Stick_reader","Multitouch_touchpad","Number_of_free_USB_ports","Number_of_speakers","Number_of_USB_ports","Operating_system_as_tested_","Optical_digital_audio_out","Optical_drive","Processor","SD/MMC_reader","Storage","Suitable_for_gaming","Tech_support_length","Thunderbolt_port","Touchpad","USB_sleep_and_charge","VGA_video_out","Video_adapter","Video_memory","Voice_command","Warranty_length","Width","WiFi","WiFi_type","Wireless_keyboard","Wireless_mouse","xD_reader","Has_Facial_recognition","Has_FingerPrintReader"
"214","Lenovo","ThinkPad N22 computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-thinkpad-n22-387458/specs",NA,45,"None",NA,NA,NA,8.3,"Yes",11.6,NA,"No","Yes","","No","No",NA,"0","No","Yes",NA,NA,0.9,"1366 x 768",4,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Celeron N3050 1.6GHz",NA,32,NA,12,"0",NA,"No","No","Intel HD Graphics",NA,NA,12,11.8,NA,"802.11ac",NA,NA,NA,0,0
"215","Lenovo","ThinkPad X1 Carbon 4th Gen computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-carbon-4th-gen-386343/specs",NA,52,"None",NA,NA,NA,9,"Yes",14,NA,"No","Yes","Gold","No","Yes",NA,"1","No","Yes",NA,NA,0.7,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Core i5-6200U 2.3GHz",NA,128,NA,12,"0",NA,"Yes","No","Intel HD Graphics 520",NA,NA,12,13.1,NA,"802.11ac",NA,NA,NA,0,1
"216","Lenovo","ThinkPad X1 Tablet computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-tablet-386111/specs",NA,37,"None",NA,NA,NA,8.5,"Yes",12,NA,"No","Yes","Gold","No","Yes",NA,"0","No","No",NA,NA,0.5,"2160 x 1440",4,"Yes",NA,NA,NA,NA,1,"Windows 10 Home",NA,"None","Intel Core m3-6Y30 0.9GHz",NA,128,NA,12,"0",NA,"No","No","Intel HD Graphics 515",NA,NA,12,11.4,NA,"802.11ac",NA,NA,NA,0,1
"217","Lenovo","ThinkPad X1 Yoga computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-yoga-385732/specs",NA,52,"None",NA,NA,NA,9,"Yes",14,NA,"No","Yes","Gold","No","Yes",NA,"0","No","Yes",NA,NA,0.7,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Pro",NA,"None","Intel Core i7-6500U 2.5GHz",NA,256,NA,12,"0",NA,"Yes","No","Intel HD Graphics 520",NA,NA,12,13.1,NA,"802.11ac",NA,NA,NA,0,1
"218","Lenovo","ThinkPad X260 computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-thinkpad-x260-386344/specs",NA,47,"None",NA,NA,NA,8.2,"Yes",12.5,NA,"No","Yes","Gold","No","No",NA,"1","No","Yes",NA,NA,0.9,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Core i5-6200U 2.3GHz",NA,192,NA,12,"0",NA,"Yes","No","Intel HD Graphics 520",NA,NA,12,12,NA,"802.11ac",NA,NA,NA,0,0
"219","Lenovo","Y700-15ACZ computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-y700-15acz-386281/specs",NA,60,"D",NA,NA,NA,10.9,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.2,"1920 x 1080",16,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","AMD FX-8800P 2.1GHz",NA,1000,NA,12,"0",NA,"No","No","AMD Radeon R9 M385X/AMD Radeon R7",1024,NA,12,15.2,NA,"802.11ac",NA,NA,NA,0,0
"220","Lenovo","Yoga 710 14"" computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-yoga-710-14-386361/specs",NA,53,"None",NA,NA,NA,8.8,"Yes",14,NA,"No","Yes","Gold","No","No",NA,"0","No","Yes",NA,NA,0.8,"1920 x 1080",8,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"None","Intel Core i5-6200U 2.3GHz",NA,256,NA,12,"0",NA,"Yes","No","Nvidia GeForce 940MX/Intel HD Graphics 520",2048,NA,12,12.7,NA,"802.11ac",NA,NA,NA,0,0
"221","Lenovo","Yoga 710 15"" computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-yoga-710-15-386362/specs",NA,53,"None",NA,NA,NA,9.6,"Yes",15.6,NA,"No","Yes","Gold","No","No",NA,"0","No","Yes",NA,NA,0.8,"1920 x 1080",8,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"None","Intel Core i5-6200U 2.3GHz",NA,256,NA,12,"0",NA,"Yes","No","Intel HD Graphics 520",NA,NA,12,14.1,NA,"802.11ac",NA,NA,NA,0,0
"222","Lenovo","Yoga 710 80V4000GUS computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-yoga-710-80v4000gus-387890/specs",NA,53,"None",NA,NA,NA,8.8,"Yes",14,NA,"No","Yes","","No","No",NA,"0","No","Yes",NA,NA,0.8,"1920 x 1080",8,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"None","Intel Core i5-7200U 2.5GHz",NA,256,NA,12,"0",NA,"Yes","No","Intel HD Graphics 620",NA,NA,12,12.7,NA,"802.11ac",NA,NA,NA,0,0
"223","Lenovo","Yoga 710 80V6000PUS computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-yoga-710-80v6000pus-387891/specs",NA,40,"None",NA,NA,NA,7.7,"Yes",11.6,NA,"No","Yes","","No","No",NA,"0","No","Yes",NA,NA,0.6,"1920 x 1080",8,"No",NA,NA,NA,NA,1,"Windows 10 Home",NA,"None","Intel Core i5-7Y54 1.2GHz",NA,128,NA,12,"0",NA,"Yes","No","Intel HD Graphics 615",NA,NA,12,11.1,NA,"802.11ac",NA,NA,NA,0,0
