"","X","index","prod_class","brand","product_title","price","url","url2"
"102",101,101,"laptop","Dell","XPS 15 Touch 6th-Gen",1600,"http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/","https://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/specs"
"103",102,102,"laptop","HP","15-ay013dx",500,"http://www.consumerreports.org/products/laptop/hp-15-ay013dx-386445/","https://www.consumerreports.org/products/laptop/hp-15-ay013dx-386445/specs"
"104",103,103,"laptop","HP","15-AY103DX",500,"http://www.consumerreports.org/products/laptop/hp-15-ay103dx-388643/","https://www.consumerreports.org/products/laptop/hp-15-ay103dx-388643/specs"
"105",104,104,"laptop","HP","15-BA061DX",400,"http://www.consumerreports.org/products/laptop/hp-15-ba061dx-389340/","https://www.consumerreports.org/products/laptop/hp-15-ba061dx-389340/specs"
"106",105,105,"laptop","HP","17-X116DX",480,"http://www.consumerreports.org/products/laptop/hp-17-x116dx-388645/","https://www.consumerreports.org/products/laptop/hp-17-x116dx-388645/specs"
"107",106,106,"laptop","HP","ENVY 13-d010nr",725,"http://www.consumerreports.org/products/laptop/hp-envy-13-d010nr-384991/","https://www.consumerreports.org/products/laptop/hp-envy-13-d010nr-384991/specs"
"108",107,107,"laptop","HP","ENVY 17t",700,"http://www.consumerreports.org/products/laptop/hp-envy-17t-384316/","https://www.consumerreports.org/products/laptop/hp-envy-17t-384316/specs"
"109",108,108,"laptop","HP","Envy Laptop 15t",1100,"http://www.consumerreports.org/products/laptop/hp-envy-laptop-15t-387685/","https://www.consumerreports.org/products/laptop/hp-envy-laptop-15t-387685/specs"
"110",109,109,"laptop","HP","ENVY M7-U109DX",1050,"http://www.consumerreports.org/products/laptop/hp-envy-m7-u109dx-388095/","https://www.consumerreports.org/products/laptop/hp-envy-m7-u109dx-388095/specs"
"111",110,110,"laptop","HP","Pavilion 15 AMD",675,"http://www.consumerreports.org/products/laptop/hp-pavilion-15-amd-386454/","https://www.consumerreports.org/products/laptop/hp-pavilion-15-amd-386454/specs"
"112",111,111,"laptop","HP","Pavilion 15 Gaming",700,"http://www.consumerreports.org/products/laptop/hp-pavilion-15-gaming-386456/","https://www.consumerreports.org/products/laptop/hp-pavilion-15-gaming-386456/specs"
"113",112,112,"laptop","HP","Pavilion 15 i5",770,"http://www.consumerreports.org/products/laptop/hp-pavilion-15-i5-386455/","https://www.consumerreports.org/products/laptop/hp-pavilion-15-i5-386455/specs"
"114",113,113,"laptop","HP","Pavilion 15-ab220nr",685,"http://www.consumerreports.org/products/laptop/hp-pavilion-15-ab220nr-384992/","https://www.consumerreports.org/products/laptop/hp-pavilion-15-ab220nr-384992/specs"
"115",114,114,"laptop","HP","Pavilion 15-bc020nr",890,"http://www.consumerreports.org/products/laptop/hp-pavilion-15-bc020nr-387887/","https://www.consumerreports.org/products/laptop/hp-pavilion-15-bc020nr-387887/specs"
"116",115,115,"laptop","HP","Pavilion 17 Gaming",770,"http://www.consumerreports.org/products/laptop/hp-pavilion-17-gaming-386457/","https://www.consumerreports.org/products/laptop/hp-pavilion-17-gaming-386457/specs"
"117",116,116,"laptop","HP","Pavilion 17-g148dx",380,"http://www.consumerreports.org/products/laptop/hp-pavilion-17-g148dx-386109/","https://www.consumerreports.org/products/laptop/hp-pavilion-17-g148dx-386109/specs"
"118",117,117,"laptop","HP","Pavilion M3-U101DX x360",475,"http://www.consumerreports.org/products/laptop/hp-pavilion-m3-u101dx-x360-388646/","https://www.consumerreports.org/products/laptop/hp-pavilion-m3-u101dx-x360-388646/specs"
"119",118,118,"laptop","HP","Pavilion x360 11.6",430,"http://www.consumerreports.org/products/laptop/hp-pavilion-x360-11-6-386461/","https://www.consumerreports.org/products/laptop/hp-pavilion-x360-11-6-386461/specs"
"120",119,119,"laptop","HP","Pavilion x360 13.3",525,"http://www.consumerreports.org/products/laptop/hp-pavilion-x360-13-3-386463/","https://www.consumerreports.org/products/laptop/hp-pavilion-x360-13-3-386463/specs"
"121",120,120,"laptop","HP","Pavilion x360 15.6",535,"http://www.consumerreports.org/products/laptop/hp-pavilion-x360-15-6-386462/","https://www.consumerreports.org/products/laptop/hp-pavilion-x360-15-6-386462/specs"
