"","X","index","prod_class","brand","product_title","price","url","url2"
"85",84,84,"laptop","Dell","Inspiron 11 3000 3rd Gen",400,"http://www.consumerreports.org/products/laptop/brondell-inspiron-11-3000-3rd-gen-387111/","https://www.consumerreports.org/products/laptop/brondell-inspiron-11-3000-3rd-gen-387111/specs"
"86",85,85,"laptop","Dell","Inspiron 13 5000",700,"http://www.consumerreports.org/products/laptop/brondell-inspiron-13-5000-387112/","https://www.consumerreports.org/products/laptop/brondell-inspiron-13-5000-387112/specs"
"87",86,86,"laptop","Dell","Inspiron 13 7000 3rd Gen",870,"http://www.consumerreports.org/products/laptop/brondell-inspiron-13-7000-3rd-gen-387114/","https://www.consumerreports.org/products/laptop/brondell-inspiron-13-7000-3rd-gen-387114/specs"
"88",87,87,"laptop","Dell","Inspiron 15 5000 3rd-Gen",785,"http://www.consumerreports.org/products/laptop/brondell-inspiron-15-5000-3rd-gen-387113/","https://www.consumerreports.org/products/laptop/brondell-inspiron-15-5000-3rd-gen-387113/specs"
"89",88,88,"laptop","Dell","Inspiron 15 7000 3rd-Gen",750,"http://www.consumerreports.org/products/laptop/brondell-inspiron-15-7000-3rd-gen-387115/","https://www.consumerreports.org/products/laptop/brondell-inspiron-15-7000-3rd-gen-387115/specs"
"90",89,89,"laptop","Dell","Inspiron 17 7000 3rd-Gen",900,"http://www.consumerreports.org/products/laptop/brondell-inspiron-17-7000-3rd-gen-387116/","https://www.consumerreports.org/products/laptop/brondell-inspiron-17-7000-3rd-gen-387116/specs"
"91",90,90,"laptop","Dell","Inspiron i3567-3465BLK",400,"http://www.consumerreports.org/products/laptop/dell-inspiron-i3567-3465blk-389334/","https://www.consumerreports.org/products/laptop/dell-inspiron-i3567-3465blk-389334/specs"
"92",91,91,"laptop","Dell","Inspiron i5555-2843SLV",450,"http://www.consumerreports.org/products/laptop/dell-inspiron-i5555-2843slv-388772/","https://www.consumerreports.org/products/laptop/dell-inspiron-i5555-2843slv-388772/specs"
"93",92,92,"laptop","Dell","Inspiron i5565-5851GRY",700,"http://www.consumerreports.org/products/laptop/dell-inspiron-i5565-5851gry-388949/","https://www.consumerreports.org/products/laptop/dell-inspiron-i5565-5851gry-388949/specs"
"94",93,93,"laptop","Dell","Inspiron i5566-3000BLK",365,"http://www.consumerreports.org/products/laptop/dell-inspiron-i5566-3000blk-388771/","https://www.consumerreports.org/products/laptop/dell-inspiron-i5566-3000blk-388771/specs"
"95",94,94,"laptop","Dell","Inspiron i5567",775,"http://www.consumerreports.org/products/laptop/dell-inspiron-i5567-388951/","https://www.consumerreports.org/products/laptop/dell-inspiron-i5567-388951/specs"
"96",95,95,"laptop","Dell","Inspiron i5759-5306SLV",760,"http://www.consumerreports.org/products/laptop/dell-inspiron-i5759-5306slv-385062/","https://www.consumerreports.org/products/laptop/dell-inspiron-i5759-5306slv-385062/specs"
"97",96,96,"laptop","Dell","Inspiron I7378-0028GRY",800,"http://www.consumerreports.org/products/laptop/dell-inspiron-i7378-0028gry-388097/","https://www.consumerreports.org/products/laptop/dell-inspiron-i7378-0028gry-388097/specs"
"98",97,97,"laptop","Dell","Inspiron i7567-5000BLK",800,"http://www.consumerreports.org/products/laptop/dell-inspiron-i7567-5000blk-388640/","https://www.consumerreports.org/products/laptop/dell-inspiron-i7567-5000blk-388640/specs"
"99",98,98,"laptop","Dell","XPS 12 2in1",495,"http://www.consumerreports.org/products/laptop/dell-xps-12-2in1-385666/","https://www.consumerreports.org/products/laptop/dell-xps-12-2in1-385666/specs"
"100",99,99,"laptop","Dell","XPS 13 Convertible",1350,"http://www.consumerreports.org/products/laptop/dell-xps-13-convertible-388659/","https://www.consumerreports.org/products/laptop/dell-xps-13-convertible-388659/specs"
"101",100,100,"laptop","Dell","XPS 15 Non-Touch",1000,"http://www.consumerreports.org/products/laptop/dell-xps-15-non-touch-384997/","https://www.consumerreports.org/products/laptop/dell-xps-15-non-touch-384997/specs"
