,Unnamed: 0,brand,model,prod_class,url,Analog_surround_sound_out,Battery_capacity,Blu_ray_or_DVD,Blu_ray_reader,Built_in_microphone,Built_in_webcam,Depth,Digital_video_out,Display_size,DisplayPort_video_out,DVI_video_out,Energy_Star,EPEAT_level,Facial_recognition,Fingerprint_reader,Free_memory_slot,Gigabit_Ethernet,Hand_gesture_control,HDMI_output,HDMI_video_in,HDMI_video_out,Height,LCD_resolution,Memory,Memory_card_reader,MS_Memory_Stick_reader,Multitouch_touchpad,Number_of_free_USB_ports,Number_of_speakers,Number_of_USB_ports,Operating_system_as_tested_,Optical_digital_audio_out,Optical_drive,Processor,SD/MMC_reader,Storage,Suitable_for_gaming,Tech_support_length,Thunderbolt_port,Touchpad,USB_sleep_and_charge,VGA_video_out,Video_adapter,Video_memory,Voice_command,Warranty_length,Width,WiFi,WiFi_type,Wireless_keyboard,Wireless_mouse,xD_reader,Has_Facial_recognition,Has_FingerPrintReader
10,11,Acer,Aspire R5-571T-59DC computer,laptop,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-59dc-386554/specs,,49.0,None,,,,10.1,Yes,15.6,,No,No,,No,No,,0,No,Yes,,,0.9,1920 x 1080,8,Yes,,,,,4.0,Windows 10 Home,,None,Intel Core i5-6200U 2.3GHz,,1000,,12,0,,No,No,Intel HD Graphics 520,,,12,14.6,,802.11ac,,,,0,0
11,12,Acer,Aspire R7-372T-54TM computer,laptop,https://www.consumerreports.org/products/laptop/acer-aspire-r7-372t-54tm-387107/specs,,50.0,None,,,,9.1,Yes,13.3,,No,Yes,,No,No,,0,No,Yes,,,0.8,1920 x 1080,8,Yes,,,,,4.0,Windows 10 Home,,None,Intel Core i5-6200U 2.3GHz,,256,,12,1,,Yes,No,Intel HD Graphics 520,,,12,13.5,,802.11ac,,,,0,0
12,13,Acer,Aspire S 13 S5-371T-76CY computer,laptop,https://www.consumerreports.org/products/laptop/acer-aspire-s-13-s5-371t-76cy-387895/specs,,54.0,None,,,,8.9,Yes,13.3,,No,Yes,,No,No,,0,No,Yes,,,0.6,1920 x 1080,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i5-6500U 2.5GHz,,512,,12,1,,Yes,No,Intel HD Graphics 520,,,12,12.9,,802.11ac,,,,0,0
13,14,Acer,Aspire S5-371-52JR computer,laptop,https://www.consumerreports.org/products/laptop/acer-aspire-s5-371-52jr-386553/specs,,45.0,None,,,,8.9,Yes,13.3,,No,Yes,,No,No,,0,No,Yes,,,0.6,1920 x 1080,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i5-6200U 2.3GHz,,256,,12,0,,Yes,No,Intel HD Graphics 520,,,12,12.9,,802.11ac,,,,0,0
14,15,Acer,Aspire Switch 10 SW5-015-198P computer,laptop,https://www.consumerreports.org/products/laptop/acer-aspire-switch-10-sw5-015-198p-386345/specs,,21.0,None,,,,7.5,Yes,10.1,,No,No,,No,No,,0,No,Yes,,,0.9,1280 x 800,2,Yes,,,,,2.0,Windows 10 Home,,None,Intel Atom Z3735F 1.33GHz,,64,,12,0,,No,No,Intel HD Graphics,,,12,10.3,,802.11n,,,,0,0
15,16,Acer,Aspire V5-591G-55PV computer,laptop,https://www.consumerreports.org/products/laptop/acer-aspire-v5-591g-55pv-387108/specs,,56.0,None,,,,10.2,Yes,15.6,,No,Yes,,No,No,,1,No,Yes,,,1.2,1920 x 1080,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i5-6300HQ 2.3GHz,,256,,12,0,,Yes,Yes,Nvidia GeForce GTX 950M/Intel HD Graphics 530,2048.0,,12,15.1,,802.11ac,,,,0,0
16,17,Acer,CB5-132T-C9KK computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-cb5-132t-c9kk-388956/specs,,,,,,Yes,8.0,,,,,Yes,,,,,0,,Yes,,,0.8,1366 x 768,4,Yes,,Yes,,,2.0,Chrome OS 57.0.2987.146,,,Celeron N3160,,32,,12,0,,,,Intel HD Graphics 400,,,12,11.5,Yes,,,,,0,0
17,18,Acer,Chromebook 11 CB3-131-C3VC computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-11-cb3-131-c3vc-385657/specs,,,,,,Yes,8.0,,,,,Yes,,,,,0,,Yes,,,0.8,1366 x 768,2,Yes,,Yes,,,2.0,Chrome OS 48.0.2564.116,,,Celeron N2840,,16,,12,0,,,,Intel HD Graphics,,,12,11.6,Yes,,,,,0,0
18,19,Acer,Chromebook 14 CB3-431-C5FM computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-14-cb3-431-c5fm-386278/specs,,,,,,Yes,9.2,,,,,Yes,,,,,0,,Yes,,,0.8,1920 x 1080,4,No,,Yes,,,2.0,Chrome OS 50.0.2661.91,,,Celeron N3160,,32,,12,0,,,,Intel HD Graphics 400,,,12,13.4,Yes,,,,,0,0
19,20,Acer,Chromebook 15 C910-54M1 computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-15-c910-54m1-376372/specs,,,,,,Yes,10.1,,,,,No,,,,,0,,Yes,,,1.1,1920 x 1080,4,Yes,,Yes,,,2.0,Chrome OS 42.0.2311.87,,,Core i5-5200U,,32,,12,0,,,,Intel HD Graphics 5500,,,12,15.1,Yes,,,,,0,0
20,21,Acer,Chromebook C740-C3P1 computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-c740-c3p1-376371/specs,,,,,,Yes,8.0,,,,,No,,,,,0,,Yes,,,0.9,1366 x 768,2,Yes,,Yes,,,2.0,Chrome OS 42.0.2311.87,,,Celeron 3205U,,16,,12,0,,,,Intel HD Graphics,,,12,11.3,Yes,,,,,0,0
21,22,Acer,ChromeBook C810-T7ZT computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-c810-t7zt-383569/specs,,,,,,Yes,9.0,,,,,Yes,Silver,,,,0,,Yes,,,0.8,1366 x 768,4,Yes,,Yes,,,2.0,Chrome OS 43.0.2357.130,,,Tegra K1 CD570M-A1,,16,,12,0,,,,Nvidia Integrated,,,12,12.9,Yes,,,,,0,0
22,23,Acer,Chromebook CB3-532-C47C computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-cb3-532-c47c-387940/specs,,,,,,Yes,10.1,,,,,No,,,,,0,,Yes,,,1.1,1366 x 768,2,Yes,,Yes,,,2.0,Chrome OS 54.0.2840.79,,,Celeron N3060,,16,,12,0,,,,Intel HD Graphics 400,,,12,15.1,Yes,,,,,0,0
23,24,Acer,ChromeBook CB5-312T-K8Z9 computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-cb5-312t-k8z9-388090/specs,,,,,,Yes,9.0,,,,,Yes,,,,,0,,Yes,,,0.6,1920 x 1080,4,Yes,,Yes,,,2.0,Chrome OS 54.0.2840.101,,,M8173C 2.1GHz,,32,,12,0,,,,PowerVR Rogue GX6250,,,12,12.8,Yes,,,,,0,0
24,25,Acer,Chromebook R11 CB5-132T-C32M computer,chromebooks,https://www.consumerreports.org/products/chromebooks/acer-chromebook-r11-cb5-132t-c32m-385733/specs,,,,,,Yes,8.0,,,,,No,,,,,0,,Yes,,,0.8,1366 x 768,2,Yes,,Yes,,,2.0,Chrome OS 49.0.2623.95,,,Celeron N3150,,32,,12,0,,,,Intel HD Graphics,,,12,11.5,Yes,,,,,0,0
25,26,Acer,Spin 1 SP111-31-C2W3 computer,laptop,https://www.consumerreports.org/products/laptop/acer-spin-1-sp111-31-c2w3-388639/specs,,49.0,None,,,,8.3,Yes,11.6,,No,Yes,,No,No,,0,No,Yes,,,0.8,1920 x 1080,4,Yes,,,,,3.0,Windows 10 Home,,None,Intel Celeron N3350 1.1GHz,,32,,12,0,,No,No,Intel HD Graphics,,,12,11.7,,802.11ac,,,,0,0
26,27,Acer,Spin 5 SP513-51-55ZR computer,laptop,https://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/specs,,49.0,None,,,,9.0,Yes,13.3,,No,Yes,,No,No,,0,No,Yes,,,0.8,1920 x 1080,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i5-6200U 2.3GHz,,256,,12,0,,No,No,Intel HD Graphics 520,,,12,12.9,,802.11ac,,,,0,0
27,28,Acer,Swift 3 SF314-51-52W2 computer,laptop,https://www.consumerreports.org/products/laptop/acer-swift-3-sf314-51-52w2-387923/specs,,49.0,None,,,,9.3,Yes,14.0,,No,Yes,,No,Yes,,0,No,Yes,,,0.8,1920 x 1080,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i5-6200U 2.3GHz,,256,,12,0,,Yes,No,Intel HD Graphics 520,,,12,13.4,,802.11ac,,,,0,1
