brand,model,prod_class,spec_label,spec_value,url
Acer,Aspire R5-571T-57Z0 computer,laptop,Height,0.9,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Depth,10.1,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Width,14.6,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Warranty_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Tech_support_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Battery_capacity,48,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Energy_Star,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,EPEAT_level,,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Blu_ray_or_DVD,None,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Memory_card_reader,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Facial_recognition,No,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Hand_gesture_control,No,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Fingerprint_reader,No,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,WiFi_type,802.11ac,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,USB_sleep_and_charge,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Thunderbolt_port,No,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Digital_video_out,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Number_of_USB_ports,4,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Gigabit_Ethernet,No,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,VGA_video_out,No,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,DVI_video_out,No,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,HDMI_output,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Spin 5 SP513-51-55ZR computer,laptop,Display_size,13.3,https://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/specs
Acer,Spin 5 SP513-51-55ZR computer,laptop,Operating_system_as_tested_,Windows 10 Home,https://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/specs
Acer,Spin 5 SP513-51-55ZR computer,laptop,Processor,Intel Core i5-6200U 2.3GHz,https://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/specs
